"Country/Region","WHORegion","Sum_of_Confirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"US","Americas","4,290,259","2816444","3","30.90","331,002,651"
"Brazil","Americas","2,442,375","508116","4","75.61","212,559,417"
"India","South-East Asia","1,480,073","495499","2","64.26","1,380,004,385"
"Russia","Europe","816,680","201097","2","73.74","145,934,462"
"South Africa","Africa","452,529","170537","2","60.75","59,308,690"
"Mexico","Americas","395,489","47657","11","76.82","128,932,753"
"Peru","Americas","389,717","98752","5","69.93","32,971,854"
"Chile","Americas","347,923","18782","3","91.96","19,116,201"
"United Kingdom","Europe","301,708","254427","15","0.48","67,886,011"
"Iran","Eastern Mediterranean","293,606","22550","5","86.90","83,992,949"
"Pakistan","Eastern Mediterranean","274,289","27421","2","87.87","220,892,340"
"Spain","Europe","272,421","93613","10","55.20","46,754,778"
"Saudi Arabia","Eastern Mediterranean","268,934","43238","1","82.90","34,813,871"
"Colombia","Americas","257,101","117163","3","51.02","50,882,891"
"Italy","Europe","246,286","12581","14","80.64","60,461,826"
"Turkey","Europe","227,019","10920","2","92.71","84,339,067"
"Bangladesh","South-East Asia","226,225","97577","1","55.56","164,689,383"
"France","Europe","220,352","108928","14","36.86","65,273,511"
"Germany","Europe","207,112","7673","4","91.89","83,783,942"
"Argentina","Americas","167,416","91782","2","43.35","45,195,774"
"Canada","Americas","116,458","107514","8","0.00","37,742,154"
"Iraq","Eastern Mediterranean","112,585","30983","4","68.52","40,222,493"
"Qatar","Eastern Mediterranean","109,597","3104","0","97.02","2,881,053"
"Indonesia","South-East Asia","100,303","37292","5","58.00","273,523,615"
"Egypt","Eastern Mediterranean","92,482","52992","5","37.67","102,334,404"
"China","Western Pacific","86,783","3258","5","90.88","1,439,323,776"
"Kazakhstan","Europe","84,648","29659","1","64.27","18,776,707"
"Philippines","Western Pacific","82,040","53649","2","32.24","109,581,078"
"Ecuador","Americas","81,161","40733","7","43.00","17,643,054"
"Sweden","Europe","79,395","73695","7","0.00","10,099,265"
"Oman","Eastern Mediterranean","77,058","19637","1","74.01","5,106,626"
"Bolivia","Americas","71,181","47056","4","30.17","11,673,021"
"Belarus","Europe","67,251","6221","1","89.95","9,449,323"
"Ukraine","Europe","67,096","28258","2","55.45",""
"Belgium","Europe","66,428","39154","15","26.27",""
"Kuwait","Eastern Mediterranean","64,379","8884","1","85.52","4,270,571"
"Dominican Republic","Americas","64,156","32869","2","47.08",""
"Israel","Europe","63,985","36378","1","42.41",""
"Panama","Americas","61,442","25034","2","57.10",""
"United Arab Emirates","Eastern Mediterranean","59,177","6322","1","88.73","9,890,402"
"Netherlands","Europe","53,413","47064","12","0.35",""
"Singapore","Western Pacific","50,838","5119","0","89.88","109,581,078"
"Portugal","Europe","50,299","13205","3","70.33",""
"Romania","Europe","45,902","17902","5","56.19",""
"Guatemala","Americas","45,309","11093","4","71.63",""
"Poland","Europe","43,402","8870","4","75.70",""
"Nigeria","Africa","41,180","22117","2","44.20","206,139,589"
"Honduras","Americas","39,741","33536","3","12.68",""
"Bahrain","Eastern Mediterranean","39,482","3231","0","91.46","1,701,575"
"Armenia","Europe","37,390","10014","2","71.32",""
"Afghanistan","Eastern Mediterranean","36,263","9796","4","69.49",""
"Switzerland","Europe","34,477","1599","6","89.62",""
