Country/Region,Province/State,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered
Afghanistan,(blank),33.93911,67.709953,36263,1269,25198
Albania,(blank),41.1533,20.1683,4880,144,2745
Algeria,(blank),28.0339,1.6596,27973,1163,18837
Andorra,(blank),42.5063,1.5218,907,52,803
Angola,(blank),-11.2027,17.8739,950,41,242
Antigua and Barbuda,(blank),17.0608,-61.7964,86,3,65
Argentina,(blank),-38.4161,-63.6167,167416,3059,72575
Armenia,(blank),40.0691,45.0382,37390,711,26665
Australia,Australian Capital Territory,-35.4735,149.0124,113,3,109
,New South Wales,-33.8688,151.2093,3699,49,2997
,Northern Territory,-12.4634,130.8456,31,0,30
,Queensland,-27.4698,153.0251,1076,7,1063
,South Australia,-34.9285,138.6007,447,4,441
,Tasmania,-42.8821,147.3272,229,13,215
,Victoria,-37.8136,144.9631,9049,83,3817
,Western Australia,-31.9505,115.8605,659,9,647
Austria,(blank),47.5162,14.5501,20558,713,18246
Azerbaijan,(blank),40.1431,47.5769,30446,423,23242
Bahamas,(blank),25.025885,-78.035889,382,11,91
Bahrain,(blank),26.0275,50.55,39482,141,36110
Bangladesh,(blank),23.685,90.3563,226225,2965,125683
Barbados,(blank),13.1939,-59.5432,110,7,94
Belarus,(blank),53.7098,27.9534,67251,538,60492
Belgium,(blank),50.8333,4.469936,66428,9822,17452
Belize,(blank),17.1899,-88.4976,48,2,26
Benin,(blank),9.3077,2.3158,1770,35,1036
Bhutan,(blank),27.5142,90.4336,99,0,86
Bolivia,(blank),-16.2902,-63.5887,71181,2647,21478
Bosnia and Herzegovina,(blank),43.9159,17.6791,10498,294,4930
Botswana,(blank),-22.3285,24.6849,739,2,63
Brazil,(blank),-14.235,-51.9253,2442375,87618,1846641
Brunei,(blank),4.5353,114.7277,141,3,138
Bulgaria,(blank),42.7339,25.4858,10621,347,5585
Burkina Faso,(blank),12.2383,-1.5616,1100,53,926
Burma,(blank),21.9162,95.956,350,6,292
Burundi,(blank),-3.3731,29.9189,378,1,301
Cabo Verde,(blank),16.5388,-23.0418,2328,22,1550
Cambodia,(blank),11.55,104.9167,226,0,147
Cameroon,(blank),3.848,11.5021,17110,391,14539
Canada,Alberta,53.9333,-116.5765,10390,186,0
,British Columbia,53.7267,-127.6476,3500,193,0
,Manitoba,53.7609,-98.8139,400,7,0
,New Brunswick,46.5653,-66.4619,170,2,0
,Newfoundland and Labrador,53.1355,-57.6604,266,3,0
,Northwest Territories,64.8255,-124.8457,5,0,0
,Nova Scotia,44.682,-63.7443,1067,63,0
,Ontario,51.2538,-85.3232,40673,2807,0
,Prince Edward Island,46.5107,-63.4168,36,1,0
,Quebec,52.9399,-73.5491,58728,5667,0
,Saskatchewan,52.9399,-106.4509,1209,16,0
,Yukon,64.2823,-135,14,0,0
Central African Republic,(blank),6.6111,20.9394,4599,59,1546
Chad,(blank),15.4542,18.7322,922,75,810
Chile,(blank),-35.6751,-71.543,347923,9187,319954
China,Anhui,31.8257,117.2264,991,6,985
,Beijing,40.1824,116.4142,931,9,895
,Chongqing,30.0572,107.874,583,6,576
,Fujian,26.0789,117.9874,366,1,361
,Gansu,35.7518,104.2861,167,2,165
,Guangdong,23.3417,113.4244,1672,8,1645
,Guangxi,23.8298,108.7881,255,2,253
,Guizhou,26.8154,106.8748,147,2,145
,Hainan,19.1959,109.7453,171,6,168
,Hebei,39.549,116.1306,349,6,0
,Heilongjiang,47.862,127.7615,947,13,934
,Henan,37.8957,114.9042,1276,22,0
,Hong Kong,22.3,114.2,2778,22,1495
,Hubei,30.9756,112.2707,68135,4512,64435
,Hunan,27.6104,111.7088,1019,4,1015
,Inner Mongolia,44.0935,113.9448,258,1,244
,Jiangsu,32.9711,119.455,655,0,654
,Jiangxi,27.614,115.7221,937,1,936
,Jilin,43.6661,126.1923,157,2,153
,Liaoning,41.2956,122.6085,209,2,160
,Macau,22.1667,113.55,46,0,46
,Ningxia,37.2692,106.1655,75,0,75
,Qinghai,35.7452,95.9956,18,0,18
,Shaanxi,35.1917,108.8701,323,3,318
,Shandong,36.3427,118.1498,799,7,785
,Shanghai,31.202,121.4491,743,7,718
,Shanxi,37.5777,112.2922,201,0,201
,Sichuan,30.6171,102.7103,604,3,595
,Tianjin,39.3054,117.323,204,3,195
,Tibet,31.6927,88.0924,1,0,1
,Xinjiang,41.1129,85.2401,311,3,73
,Yunnan,24.974,101.487,190,2,186
,Zhejiang,29.1832,120.0934,1270,1,1268
Colombia,(blank),4.5709,-74.2973,257101,8777,131161
Comoros,(blank),-11.6455,43.3333,354,7,328
Congo (Brazzaville),(blank),-0.228,15.8277,3200,54,829
Congo (Kinshasa),(blank),-4.0383,21.7587,8844,208,5700
Costa Rica,(blank),9.7489,-83.7534,15841,115,3824
Cote d'Ivoire,(blank),7.54,-5.5471,15655,96,10361
Croatia,(blank),45.1,15.2,4881,139,3936
Cuba,(blank),21.521757,-77.781167,2532,87,2351
Cyprus,(blank),35.1264,33.4299,1060,19,852
Czechia,(blank),49.8175,15.473,15516,373,11428
Denmark,Faroe Islands,61.8926,-6.9118,214,0,188
,(blank),56.2639,9.5018,13547,613,12417
Djibouti,(blank),11.8251,42.5903,5059,58,4977
Dominica,(blank),15.415,-61.371,18,0,18
Dominican Republic,(blank),18.7357,-70.1627,64156,1083,30204
Ecuador,(blank),-1.8312,-78.1834,81161,5532,34896
Egypt,(blank),26.820553,30.802498,92482,4652,34838
El Salvador,(blank),13.7942,-88.8965,15035,408,7778
Equatorial Guinea,(blank),1.6508,10.2679,3071,51,842
Eritrea,(blank),15.1794,39.7823,265,0,191
Estonia,(blank),58.5953,25.0136,2034,69,1923
Eswatini,(blank),-26.5225,31.4659,2316,34,1025
Ethiopia,(blank),9.145,40.4897,14547,228,6386
Fiji,(blank),-17.7134,178.065,27,0,18
Finland,(blank),61.92411,25.748151,7398,329,6920
France,French Guiana,3.9339,-53.1258,7514,42,6047
,French Polynesia,-17.6797,149.4068,62,0,60
,Guadeloupe,16.265,-61.551,203,14,176
,Martinique,14.6415,-61.0242,269,15,98
,Mayotte,-12.8275,45.166244,2900,38,2672
,New Caledonia,-20.904305,165.618042,22,0,22
,Reunion,-21.1151,55.5364,657,4,592
,Saint Barthelemy,17.9,-62.8333,7,0,6
,Saint Pierre and Miquelon,46.8852,-56.3159,4,0,1
,St Martin,18.0708,-63.0501,49,3,41
,(blank),46.2276,2.2137,208665,30096,72408
Gabon,(blank),-0.8037,11.6094,7189,49,4682
Gambia,(blank),13.4432,-15.3101,326,8,66
Georgia,(blank),42.3154,43.3569,1137,16,922
Germany,(blank),51.165691,10.451526,207112,9125,190314
Ghana,(blank),7.9465,-1.0232,33624,168,29801
Greece,(blank),39.0742,21.8243,4227,202,1374
Greenland,Greenland,71.7069,-42.6043,14,0,13
Grenada,(blank),12.1165,-61.679,23,0,23
Guatemala,(blank),15.7835,-90.2308,45309,1761,32455
Guinea,(blank),9.9456,-9.6966,7055,45,6257
Guinea-Bissau,(blank),11.8037,-15.1804,1954,26,803
Guyana,(blank),4.860416,-58.93018,389,20,181
