"Country/Region","Sum of Confirmed","Sum of Active","Sum of Deaths/100 Cases","Sum of Recovered/100 Cases"
"Afghanistan","36263","9796","3.5","69.49"
"Albania","4880","1991","2.95","56.25"
"Algeria","27973","7973","4.16","67.34"
"Andorra","907","52","5.73","88.53"
"Angola","950","667","4.32","25.47"
"Antigua and Barbuda","86","18","3.49","75.58"
"Argentina","167416","91782","1.83","43.35"
"Armenia","37390","10014","1.9","71.32"
"Australia","15303","5825","1.09","60.84"
"Austria","20558","1599","3.47","88.75"
"Azerbaijan","30446","6781","1.39","76.34"
"Bahamas","382","280","2.88","23.82"
"Bahrain","39482","3231","0.36","91.46"
"Bangladesh","226225","97577","1.31","55.56"
"Barbados","110","9","6.36","85.45"
"Belarus","67251","6221","0.8","89.95"
"Belgium","66428","39154","14.79","26.27"
"Belize","48","20","4.17","54.17"
"Benin","1770","699","1.98","58.53"
"Bhutan","99","13","0","86.87"
"Bolivia","71181","47056","3.72","30.17"
"Bosnia and Herzegovina","10498","5274","2.8","46.96"
"Botswana","739","674","0.27","8.53"
"Brazil","2442375","508116","3.59","75.61"
"Brunei","141","0","2.13","97.87"
"Bulgaria","10621","4689","3.27","52.58"
"Burkina Faso","1100","121","4.82","84.18"
"Burma","350","52","1.71","83.43"
"Burundi","378","76","0.26","79.63"
"Cabo Verde","2328","756","0.95","66.58"
"Cambodia","226","79","0","65.04"
"Cameroon","17110","2180","2.29","84.97"
"Canada","116458","107514","7.68","0"
"Central African Republic","4599","2994","1.28","33.62"
"Chad","922","37","8.13","87.85"
"Chile","347923","18782","2.64","91.96"
"China","86783","3258","5.37","90.88"
"Colombia","257101","117163","3.41","51.02"
"Comoros","354","19","1.98","92.66"
"Congo (Brazzaville)","3200","2317","1.69","25.91"
"Congo (Kinshasa)","8844","2936","2.35","64.45"
"Costa Rica","15841","11902","0.73","24.14"
"Cote d'Ivoire","15655","5198","0.61","66.18"
"Croatia","4881","806","2.85","80.64"
"Cuba","2532","94","3.44","92.85"
"Cyprus","1060","189","1.79","80.38"
"Czechia","15516","3715","2.4","73.65"
"Denmark","13761","543","4.45","91.6"
"Djibouti","5059","24","1.15","98.38"
"Dominica","18","0","0","100"
"Dominican Republic","64156","32869","1.69","47.08"
"Ecuador","81161","40733","6.82","43"
"Egypt","92482","52992","5.03","37.67"
"El Salvador","15035","6849","2.71","51.73"
"Equatorial Guinea","3071","2178","1.66","27.42"
"Eritrea","265","74","0","72.08"
"Estonia","2034","42","3.39","94.54"
"Eswatini","2316","1257","1.47","44.26"
"Ethiopia","14547","7933","1.57","43.9"
"Fiji","27","9","0","66.67"
"Finland","7398","149","4.45","93.54"
"France","220352","108928","13.71","36.86"
"Gabon","7189","2458","0.68","65.13"
"Gambia","326","252","2.45","20.25"
"Georgia","1137","199","1.41","81.09"
"Germany","207112","7673","4.41","91.89"
"Ghana","33624","3655","0.5","88.63"
"Greece","4227","2651","4.78","32.51"
"Greenland","14","1","0","92.86"
"Grenada","23","0","0","100"
"Guatemala","45309","11093","3.89","71.63"
"Guinea","7055","753","0.64","88.69"
"Guinea-Bissau","1954","1125","1.33","41.1"
"Guyana","389","188","5.14","46.53"
"Haiti","7340","2817","2.15","59.47"
"Holy See","12","0","0","100"
"Honduras","39741","33536","2.93","12.68"
"Hungary","4448","523","13.4","74.84"
"Iceland","1854","21","0.54","98.33"
"India","1480073","495499","2.26","64.26"
"Indonesia","100303","37292","4.82","58"
"Iran","293606","22550","5.42","86.9"
"Iraq","112585","30983","3.96","68.52"
"Ireland","25892","764","6.81","90.24"
"Israel","63985","36378","0.74","42.41"
"Italy","246286","12581","14.26","80.64"
"Jamaica","853","129","1.17","83.7"
"Japan","31142","8174","3.2","70.55"
"Jordan","1176","124","0.94","88.52"
"Kazakhstan","84648","29659","0.69","64.27"
"Kenya","17975","9857","1.59","43.58"
"Kosovo","7413","3201","2.5","54.32"
"Kuwait","64379","8884","0.68","85.52"
"Kyrgyzstan","33296","10790","3.91","63.69"
"Laos","20","1","0","95"
"Latvia","1219","143","2.54","85.73"
"Lebanon","3882","2122","1.31","44.02"
"Lesotho","505","365","2.38","25.35"
"Liberia","1167","449","6.17","55.36"
"Libya","2827","2186","2.26","20.41"
"Liechtenstein","86","4","1.16","94.19"
"Lithuania","2019","319","3.96","80.24"
"Luxembourg","6321","1384","1.77","76.33"
"Madagascar","9690","3339","0.94","64.6"
"Malawi","3664","1920","2.7","44.9"
"Malaysia","8904","179","1.39","96.6"
"Maldives","3369","807","0.45","75.6"
"Mali","2513","476","4.93","76.12"
"Malta","701","27","1.28","94.86"
"Mauritania","6208","1399","2.51","74.95"
"Mauritius","344","2","2.91","96.51"
"Mexico","395489","47657","11.13","76.82"
"Moldova","23154","6252","3.23","69.77"
"Monaco","116","8","3.45","89.66"
"Mongolia","289","67","0","76.82"
"Montenegro","2893","2039","1.56","27.96"
"Morocco","20887","4018","1.51","79.25"
"Mozambique","1701","1690","0.65","0"
"Namibia","1843","1734","0.43","5.48"
"Nepal","18752","4950","0.26","73.35"
"Netherlands","53413","47064","11.53","0.35"
"New Zealand","1557","21","1.41","97.24"
"Nicaragua","3439","839","3.14","72.46"
"Niger","1132","36","6.1","90.72"
"Nigeria","41180","22117","2.09","44.2"
"North Macedonia","10213","4183","4.56","54.48"
"Norway","9132","125","2.79","95.84"
"Oman","77058","19637","0.51","74.01"
"Pakistan","274289","27421","2.13","87.87"
"Panama","61442","25034","2.15","57.1"
"Papua New Guinea","62","51","0","17.74"
"Paraguay","4548","1600","0.95","63.87"
"Peru","389717","98752","4.73","69.93"
"Philippines","82040","53649","2.37","32.24"
"Poland","43402","8870","3.86","75.7"
"Portugal","50299","13205","3.42","70.33"
"Qatar","109597","3104","0.15","97.02"
"Romania","45902","17902","4.81","56.19"
"Russia","816680","201097","1.63","73.74"
"Rwanda","1879","899","0.27","51.89"
"Saint Kitts and Nevis","17","2","0","88.24"
"Saint Lucia","24","2","0","91.67"
"Saint Vincent and the Grenadines","52","13","0","75"
"San Marino","699","0","6.01","93.99"
