Country/Region,WHORegion,Confirmed,Deaths,Recovered,Active
Afghanistan,Eastern Mediterranean,1936390,49098,798240,1089052
,,,,,
Albania,Europe,196702,5708,118877,72117
,,,,,
Algeria,Africa,1179755,77972,755897,345886
,,,,,
Andorra,Europe,94404,5423,69074,19907
,,,,,
Angola,Africa,22662,1078,6573,15011
,,,,,
Antigua and Barbuda,Americas,4487,326,2600,1561
,,,,,
Argentina,Americas,4450658,97749,1680024,2672885
,,,,,
Armenia,Europe,1587173,27089,857482,702602
,,,,,
Australia,Western Pacific,960247,11387,711928,236932
,,,,,
Austria,Europe,2034986,71390,1638380,325216
,,,,,
Azerbaijan,Europe,1134717,14282,703402,417033
,,,,,
Bahamas,Americas,12100,1203,6047,4850
,,,,,
Bahrain,Eastern Mediterranean,1755206,5115,1334787,415304
,,,,,
Bangladesh,South-East Asia,8754729,115633,3714702,4924394
,,,,,
Barbados,Americas,10652,738,7444,2470
,,,,,
Belarus,Europe,4426759,28391,2771925,1626443
,,,,,
Belgium,Europe,6281116,963679,1627492,3689945
,,,,,
Belize,Americas,2636,222,1618,796
,,,,,
Benin,Africa,64406,1095,25911,37400
,,,,,
Bhutan,South-East Asia,4971,0,2838,2133
,,,,,
Bolivia,Americas,2170351,78032,571653,1520666
,,,,,
Bosnia and Herzegovina,Europe,396634,16373,207156,173105
,,,,,
Botswana,Africa,15306,120,2291,12895
,,,,,
Brazil,Americas,89524967,3938034,54492873,31094060
,,,,,
Brunei,Western Pacific,18168,226,15262,2680
,,,,,
Bulgaria,Europe,410722,17654,182621,210447
,,,,,
Burkina Faso,Africa,96153,5583,74876,15694
,,,,,
Burma,South-East Asia,25188,639,15476,9073
,,,,,
Burundi,Africa,11351,106,7361,3884
,,,,,
Cabo Verde,Africa,82732,854,38253,43625
,,,,,
Cambodia,Western Pacific,17079,0,13917,3162
,,,,,
Cameroon,Africa,844817,22354,588941,233522
,,,,,
Canada,Americas,9356551,699566,0,8656985
,,,,,
Central African Republic,Africa,198659,2010,43318,153331
,,,,,
Chad,Africa,64226,5523,48059,10644
,,,,,
Chile,Americas,16935654,322480,13292593,3320581
,,,,,
China,Western Pacific,14132002,672413,11466866,1992723
,,,,,
Colombia,Americas,6893122,236525,2823811,3832786
,,,,,
Comoros,Africa,15823,337,11473,4013
,,,,,
Congo (Brazzaville),Africa,101609,2696,29132,69781
,,,,,
Congo (Kinshasa),Africa,427604,10888,135073,281643
,,,,,
Costa Rica,Americas,347151,2037,116642,228472
,,,,,
Cote d'Ivoire,Africa,611062,4717,309368,296977
,,,,,
Croatia,Europe,299218,10372,213360,75486
,,,,,
Cuba,Americas,216346,8145,170780,37421
,,,,,
Cyprus,Europe,107176,1962,65254,39960
,,,,,
Czechia,Europe,1146758,33364,651140,462254
,,,,,
Denmark,Europe,1305978,60602,1057021,188355
,,,,,
Djibouti,Eastern Mediterranean,336216,3011,255143,78062
,,,,,
Dominica,Americas,2059,0,1659,400
,,,,,
Dominican Republic,Americas,2495433,61786,1211513,1222134
,,,,,
Ecuador,Americas,4678496,346618,1772210,2559668
,,,,,
Egypt,Eastern Mediterranean,4142819,186936,1197283,2758600
,,,,,
El Salvador,Americas,453036,11429,240972,200635
,,,,,
Equatorial Guinea,Africa,153258,2246,35352,115660
,,,,,
Eritrea,Africa,11786,0,5724,6062
,,,,,
Estonia,Europe,216505,6826,137224,72455
,,,,,
Eswatini,Africa,63160,763,30185,32212
,,,,,
Ethiopia,Africa,357928,5887,121793,230248
,,,,,
Fiji,Western Pacific,2266,0,1568,698
,,,,,
Finland,Europe,713167,30338,544492,138337
,,,,,
France,Europe,21210926,3048524,7182115,10980287
,,,,,
Gabon,Africa,330678,2497,146671,181510
,,,,,
Gambia,Africa,4845,209,2278,2358
,,,,,
Georgia,Europe,85213,1266,60230,23717
,,,,,
