"Date","WHO_Region","Sum_of_Confirmed","Sum_of_Deaths"
"1/22/2020","Africa","0","0"
"1/22/2020","Americas","1","0"
"1/22/2020","Eastern Mediterranean","0","0"
"1/22/2020","Europe","0","0"
"1/22/2020","South-East Asia","2","0"
"1/22/2020","Western Pacific","552","17"
"2/22/2020","Africa","0","0"
"2/22/2020","Americas","24","0"
"2/22/2020","Eastern Mediterranean","43","5"
"2/22/2020","Europe","121","3"
"2/22/2020","South-East Asia","40","0"
"2/22/2020","Western Pacific","77739","2449"
"3/22/2020","Africa","916","26"
"3/22/2020","Americas","40542","688"
"3/22/2020","Eastern Mediterranean","25455","1742"
"3/22/2020","Europe","177278","8846"
"3/22/2020","South-East Asia","1635","58"
"3/22/2020","Western Pacific","95759","3471"
"4/22/2020","Africa","16444","753"
"4/22/2020","Americas","1000603","56473"
"4/22/2020","Eastern Mediterranean","144966","6476"
"4/22/2020","Europe","1294183","116842"
"4/22/2020","South-East Asia","35999","1497"
"4/22/2020","Western Pacific","138119","5836"
"5/22/2020","Africa","72395","2022"
"5/22/2020","Americas","2379104","140923"
"5/22/2020","Eastern Mediterranean","402090","10797"
"5/22/2020","Europe","2008832","173227"
"5/22/2020","South-East Asia","181934","5562"
"5/22/2020","Western Pacific","172609","6865"
"6/22/2020","Africa","230536","5116"
"6/22/2020","Americas","4509626","227101"
"6/22/2020","Eastern Mediterranean","932553","20974"
"6/22/2020","Europe","2572065","194113"
"6/22/2020","South-East Asia","620109","18119"
"6/22/2020","Western Pacific","206844","7333"
"7/22/2020","Africa","639470","10759"
"7/22/2020","Americas","8127289","322207"
"7/22/2020","Eastern Mediterranean","1426854","36093"
"7/22/2020","Europe","3189394","209185"
"7/22/2020","South-East Asia","1571472","37203"
"7/22/2020","Western Pacific","273246","8093"
