"Date","WHO Region","Sum of Confirmed","Sum of Deaths"
"1/22/2020","Africa","0","0"
"1/22/2020","Americas","1","0"
"1/22/2020","Eastern Mediterranean","0","0"
"1/22/2020","Europe","0","0"
"1/22/2020","South-East Asia","2","0"
"1/22/2020","Western Pacific","552","17"
"2/22/2020","Africa","0","0"
"","Americas","24","0"
"","Eastern Mediterranean","43","5"
"","Europe","121","3"
"","South-East Asia","40","0"
"","Western Pacific","77739","2449"
"3/22/2020","Africa","916","26"
"","Americas","40542","688"
"","Eastern Mediterranean","25455","1742"
"","Europe","177278","8846"
"","South-East Asia","1635","58"
"","Western Pacific","95759","3471"
"4/22/2020","Africa","16444","753"
"","Americas","1000603","56473"
"","Eastern Mediterranean","144966","6476"
"","Europe","1294183","116842"
"","South-East Asia","35999","1497"
"","Western Pacific","138119","5836"
"5/22/2020","Africa","72395","2022"
"","Americas","2379104","140923"
"","Eastern Mediterranean","402090","10797"
"","Europe","2008832","173227"
"","South-East Asia","181934","5562"
"","Western Pacific","172609","6865"
"6/22/2020","Africa","230536","5116"
"","Americas","4509626","227101"
"","Eastern Mediterranean","932553","20974"
"","Europe","2572065","194113"
"","South-East Asia","620109","18119"
"","Western Pacific","206844","7333"
"7/22/2020","Africa","639470","10759"
"","Americas","8127289","322207"
"","Eastern Mediterranean","1426854","36093"
"","Europe","3189394","209185"
"","South-East Asia","1571472","37203"
"","Western Pacific","273246","8093"
